stim_word,stim_color,trial_loop.thisRepN,trial_loop.thisTrialN,trial_loop.thisN,trial_loop.thisIndex,welcome_txt.started,welcome_txt.stopped,instructions_txt.started,instructions_txt.stopped,instructions_resp.keys,instructions_resp.rt,instructions_resp.started,instructions_resp.stopped,polygon.started,polygon.stopped,trial_txt.started,trial_txt.stopped,trial_resp.keys,trial_resp.rt,trial_resp.started,trial_resp.stopped,fix_dot.started,fix_dot.stopped,participant,date,expName,psychopyVersion,frameRate,
green,green,0,9,9,8,,,,,,,,,,,23.932412074063905,None,left,0.38179368199780583,23.932412074063905,None,24.332115020020865,None,,2020_Dec_02_1122,stroop,2020.2.9,60.006671451421326,
green,green,0,10,10,6,,,,,,,,,,,24.832734983996488,None,left,0.3417154960334301,24.832734983996488,None,25.199179814080708,None,,2020_Dec_02_1122,stroop,2020.2.9,60.006671451421326,
green,red,0,11,11,2,,,,,,,,,,,25.69913208403159,None,left,0.5152363840024918,25.69913208403159,None,26.232596068060957,None,,2020_Dec_02_1122,stroop,2020.2.9,60.006671451421326,
red,green,0,12,12,15,,,,,,,,,,,26.732296091038734,None,right,0.5820411710301414,26.732296091038734,None,27.331993633066304,None,,2020_Dec_02_1122,stroop,2020.2.9,60.006671451421326,
red,red,0,13,13,10,,,,,,,,,,,27.832956928992644,None,left,0.34155128500424325,27.832956928992644,None,28.197969534085132,None,,2020_Dec_02_1122,stroop,2020.2.9,60.006671451421326,
green,red,0,14,14,0,,,,,,,,,,,28.698567254003137,None,right,0.2758101529907435,28.698567254003137,None,28.99797067104373,None,,2020_Dec_02_1122,stroop,2020.2.9,60.006671451421326,
green,red,0,15,15,4,,,,,,,,,,,29.498712602071464,None,right,0.3755874229827896,29.498712602071464,None,29.898198316106573,None,,2020_Dec_02_1122,stroop,2020.2.9,60.006671451421326,
green,green,0,16,16,5,,,,,,,,,,,30.398628138005733,None,right,0.17590959195513278,30.398628138005733,None,30.59796216606628,None,,2020_Dec_02_1122,stroop,2020.2.9,60.006671451421326,
red,red,0,17,17,12,,,,,,,,,,,31.09841406508349,None,right,0.15611303295008838,31.09841406508349,None,31.28183751704637,None,,2020_Dec_02_1122,stroop,2020.2.9,60.006671451421326,
red,green,0,18,18,16,,,,,,,,,,,31.78193253709469,None,left,0.25244748895056546,31.78193253709469,None,32.065225178026594,None,,2020_Dec_02_1122,stroop,2020.2.9,60.006671451421326,
green,green,0,19,19,9,,,,,,,,,,,32.56530931405723,None,left,0.44899562699720263,32.56530931405723,None,33.04737329808995,None,,2020_Dec_02_1122,stroop,2020.2.9,60.006671451421326,
green,green,1,0,20,9,,,,,,,,,,,33.54792666004505,None,left,0.40660520701203495,33.54792666004505,None,33.98133122501895,None,,2020_Dec_02_1122,stroop,2020.2.9,60.006671451421326,
red,red,1,1,21,14,,,,,,,,,,,34.48145265807398,None,left,0.07315044989809394,34.48145265807398,None,34.581023229053244,None,,2020_Dec_02_1122,stroop,2020.2.9,60.006671451421326,
red,red,1,2,22,11,,,,,,,,,,,35.081359179108404,None,right,0.1330795130925253,35.081359179108404,None,35.23146404104773,None,,2020_Dec_02_1122,stroop,2020.2.9,60.006671451421326,
red,red,1,3,23,13,,,,,,,,,,,35.731399472104385,None,left,0.08305091189686209,35.731399472104385,None,35.83145795902237,None,,2020_Dec_02_1122,stroop,2020.2.9,60.006671451421326,
red,green,1,4,24,15,,,,,,,,,,,36.33093038504012,None,right,0.023654174990952015,36.33093038504012,None,36.38111493806355,None,,2020_Dec_02_1122,stroop,2020.2.9,60.006671451421326,
red,green,1,5,25,18,,,,,,,,,,,36.88147070002742,None,left,0.032995116082020104,36.88147070002742,None,36.93153501302004,None,,2020_Dec_02_1122,stroop,2020.2.9,60.006671451421326,
red,red,1,6,26,12,,,,,,,,,,,37.43143830599729,None,right,0.023067233967594802,37.43143830599729,None,37.481398354051635,None,,2020_Dec_02_1122,stroop,2020.2.9,60.006671451421326,
red,red,1,7,27,10,,,,,,,,,,,37.980885296012275,None,left,0.03355362801812589,37.980885296012275,None,38.0473177540116,None,,2020_Dec_02_1122,stroop,2020.2.9,60.006671451421326,
green,red,1,8,28,4,,,,,,,,,,,38.54736400907859,None,right,0.06700426002498716,38.54736400907859,None,38.646739048999734,None,,2020_Dec_02_1122,stroop,2020.2.9,60.006671451421326,
green,green,1,9,29,8,,,,,,,,,,,39.14743336010724,None,left,0.046987931011244655,39.14743336010724,None,39.21397672302555,None,,2020_Dec_02_1122,stroop,2020.2.9,60.006671451421326,
green,green,1,10,30,5,,,,,,,,,,,39.71397486503702,None,right,0.08049329603090882,39.71397486503702,None,39.81413365807384,None,,2020_Dec_02_1122,stroop,2020.2.9,60.006671451421326,
green,green,1,11,31,7,,,,,,,,,,,40.31339069909882,None,left,0.04108845500741154,40.31339069909882,None,40.38090764405206,None,,2020_Dec_02_1122,stroop,2020.2.9,60.006671451421326,
red,green,1,12,32,19,,,,,,,,,,,40.88088370510377,None,right,0.053696810035035014,40.88088370510377,None,40.9639158740174,None,,2020_Dec_02_1122,stroop,2020.2.9,60.006671451421326,
red,green,1,13,33,17,,,,,,,,,,,41.464025252033025,None,left,0.03061631601303816,41.464025252033025,None,41.51414706604555,None,,2020_Dec_02_1122,stroop,2020.2.9,60.006671451421326,
green,green,1,14,34,6,,,,,,,,,,,42.01385669200681,None,right,0.10061214794404805,42.01385669200681,None,42.14711247605737,None,,2020_Dec_02_1122,stroop,2020.2.9,60.006671451421326,
